"","Fraction1_Ctrl_Rep1","Fraction1_RNase_Rep1","Fraction1_Ctrl_Rep2","Fraction1_RNase_Rep2","Fraction1_Ctrl_Rep3","Fraction1_RNase_Rep3","Fraction2_Ctrl_Rep1","Fraction2_RNase_Rep1","Fraction2_Ctrl_Rep2","Fraction2_RNase_Rep2","Fraction2_Ctrl_Rep3","Fraction2_RNase_Rep3","Fraction3_Ctrl_Rep1","Fraction3_RNase_Rep1","Fraction3_Ctrl_Rep2","Fraction3_RNase_Rep2","Fraction3_Ctrl_Rep3","Fraction3_RNase_Rep3","Fraction4_Ctrl_Rep1","Fraction4_RNase_Rep1","Fraction4_Ctrl_Rep2","Fraction4_RNase_Rep2","Fraction4_Ctrl_Rep3","Fraction4_RNase_Rep3","Fraction5_Ctrl_Rep1","Fraction5_RNase_Rep1","Fraction5_Ctrl_Rep2","Fraction5_RNase_Rep2","Fraction5_Ctrl_Rep3","Fraction5_RNase_Rep3","Fraction6_Ctrl_Rep1","Fraction6_RNase_Rep1","Fraction6_Ctrl_Rep2","Fraction6_RNase_Rep2","Fraction6_Ctrl_Rep3","Fraction6_RNase_Rep3","Fraction7_Ctrl_Rep1","Fraction7_RNase_Rep1","Fraction7_Ctrl_Rep2","Fraction7_RNase_Rep2","Fraction7_Ctrl_Rep3","Fraction7_RNase_Rep3","Fraction8_Ctrl_Rep1","Fraction8_RNase_Rep1","Fraction8_Ctrl_Rep2","Fraction8_RNase_Rep2","Fraction8_Ctrl_Rep3","Fraction8_RNase_Rep3","Fraction9_Ctrl_Rep1","Fraction9_RNase_Rep1","Fraction9_Ctrl_Rep2","Fraction9_RNase_Rep2","Fraction9_Ctrl_Rep3","Fraction9_RNase_Rep3","Fraction10_Ctrl_Rep1","Fraction10_RNase_Rep1","Fraction10_Ctrl_Rep2","Fraction10_RNase_Rep2","Fraction10_Ctrl_Rep3","Fraction10_RNase_Rep3","Fraction11_Ctrl_Rep1","Fraction11_RNase_Rep1","Fraction11_Ctrl_Rep2","Fraction11_RNase_Rep2","Fraction11_Ctrl_Rep3","Fraction11_RNase_Rep3","Fraction12_Ctrl_Rep1","Fraction12_RNase_Rep1","Fraction12_Ctrl_Rep2","Fraction12_RNase_Rep2","Fraction12_Ctrl_Rep3","Fraction12_RNase_Rep3","Fraction13_Ctrl_Rep1","Fraction13_RNase_Rep1","Fraction13_Ctrl_Rep2","Fraction13_RNase_Rep2","Fraction13_Ctrl_Rep3","Fraction13_RNase_Rep3","Fraction14_Ctrl_Rep1","Fraction14_RNase_Rep1","Fraction14_Ctrl_Rep2","Fraction14_RNase_Rep2","Fraction14_Ctrl_Rep3","Fraction14_RNase_Rep3","Fraction15_Ctrl_Rep1","Fraction15_RNase_Rep1","Fraction15_Ctrl_Rep2","Fraction15_RNase_Rep2","Fraction15_Ctrl_Rep3","Fraction15_RNase_Rep3","Fraction16_Ctrl_Rep1","Fraction16_RNase_Rep1","Fraction16_Ctrl_Rep2","Fraction16_RNase_Rep2","Fraction16_Ctrl_Rep3","Fraction16_RNase_Rep3","Fraction17_Ctrl_Rep1","Fraction17_RNase_Rep1","Fraction17_Ctrl_Rep2","Fraction17_RNase_Rep2","Fraction17_Ctrl_Rep3","Fraction17_RNase_Rep3","Fraction18_Ctrl_Rep1","Fraction18_RNase_Rep1","Fraction18_Ctrl_Rep2","Fraction18_RNase_Rep2","Fraction18_Ctrl_Rep3","Fraction18_RNase_Rep3","Fraction19_Ctrl_Rep1","Fraction19_RNase_Rep1","Fraction19_Ctrl_Rep2","Fraction19_RNase_Rep2","Fraction19_Ctrl_Rep3","Fraction19_RNase_Rep3","Fraction20_Ctrl_Rep1","Fraction20_RNase_Rep1","Fraction20_Ctrl_Rep2","Fraction20_RNase_Rep2","Fraction20_Ctrl_Rep3","Fraction20_RNase_Rep3","Fraction21_Ctrl_Rep1","Fraction21_RNase_Rep1","Fraction21_Ctrl_Rep2","Fraction21_RNase_Rep2","Fraction21_Ctrl_Rep3","Fraction21_RNase_Rep3","Fraction22_Ctrl_Rep1","Fraction22_RNase_Rep1","Fraction22_Ctrl_Rep2","Fraction22_RNase_Rep2","Fraction22_Ctrl_Rep3","Fraction22_RNase_Rep3","Fraction23_Ctrl_Rep1","Fraction23_RNase_Rep1","Fraction23_Ctrl_Rep2","Fraction23_RNase_Rep2","Fraction23_Ctrl_Rep3","Fraction23_RNase_Rep3","Fraction24_Ctrl_Rep1","Fraction24_RNase_Rep1","Fraction24_Ctrl_Rep2","Fraction24_RNase_Rep2","Fraction24_Ctrl_Rep3","Fraction24_RNase_Rep3","Fraction25_Ctrl_Rep1","Fraction25_RNase_Rep1","Fraction25_Ctrl_Rep2","Fraction25_RNase_Rep2","Fraction25_Ctrl_Rep3","Fraction25_RNase_Rep3"
"FAK1_HUMAN",0,0,0,0,0,0,1984.7,0,610.29,231.35,621.12,1412.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1344.4,2898.3,450.2,960.5,1400.4,2378.4,5029.6,6305.6,3602.9,3501.3,3353.7,3504.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ILF2_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57295,129130,60330,60190,25541,94132,112960,348200,7831.4,111950,61977,322800,62412,268530,27804,74043,32187,138440,14839,34579,8739,14350,9729.4,32365,68190,120390,26413,27027,26948,49448,34804,41259,10873,7747,16379,17407,8620.4,11352,2854.8,3207.3,3734.9,3844.3,13628,12544,3986,2003.2,5596.4,2990.4,4854.5,3699.9,2062.9,1271.9,1341.4,585.93,3824.1,4153.2,3397.6,1146.4,2429.8,1246.5,4923.3,1738.3,3261.2,417.9,1415.9,826.13,9284.4,4376.2,7966.5,2103.9,8135.2,1988.3,39949,5010.6,41011,1812.1,26406,1446.4,81476,8419.7,89274,2220,44523,2739.2,63837,6748.9,73875,915.53,69638,2211.5,20566,950.51,17223,161.24,14177,503.3,92531,725.09,117080,0,44288,344.42,159170,737.2,125010,549.8,31626,710,147800,244.65,116150,0,48967,751.78,58683,821.07,34797,537.25,50739,223.84,90940,6024.1,90724,9418.3,51952,989.8
"COG8_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4094.7,3791.1,1736.2,1049.5,1944.6,1376.2,30941,21372,9194.6,10806,14422,4287,34140,28661,12874,10931,14457,7333.4,10637,7171.6,2946.3,2442.3,2494.8,1980,2238.2,4153.7,3715.6,1570.9,1636.2,1229.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PMYT1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2325.7,1471.3,521.09,806.86,829.04,371.57,2502.3,1810.4,662.61,808.03,750.94,481.2,0,0,0,0,0,0,1445.9,1339.3,500.37,682.74,497.83,216.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MK14_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6288.4,6500.9,5050.2,2107.7,2160.6,4378.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEX5_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4241,4523.1,2493,1646.1,1862.1,2842.3,0,0,0,0,0,0,4326.3,4935.5,2352.3,1106.4,2157.2,2172.7,3312.5,3285.1,1661,1707.5,1607.9,1330.7,3026.2,2607.2,1172.9,807.33,982.96,832.21,1981.5,1926,944.08,570.75,631.47,277.38,1447.2,1801.7,1112.7,557.17,711.28,582.36,4514.2,3897.3,2730.2,1564.3,1992.6,1509.1,617.37,518.71,356.24,185.3,505.56,142.21,0,0,0,0,0,0,460.8,495.17,389.1,0,257.87,166.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DERL1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3161.4,2379,1134.8,1612.4,2195,672.32,2789.1,2242.1,847.33,1393,1453.9,697.71,5285.8,3906.6,1597.2,1494.1,2194.4,1050.1,11147,6508.6,3060.3,2764.8,3148,1130.7,4320.5,9121.9,3662.1,3827.5,5992.9,2275.6,0,0,0,0,0,0,0,0,0,0,0,0,1677.8,717.7,753.59,304.52,656.77,175.17,2449.9,2070.2,1607.8,1044.1,1472.2,710.23,2852.8,2320.9,2292.7,695.23,2365.9,1020.3,0,0,0,0,0,0,2686.9,344.68,1642.9,223.71,1344.2,109.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AT2C1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1759.2,1072.1,673.04,516.71,693.42,207.1,4976.3,5187.6,1916.8,1853,1919.9,885.05,4422.9,2037.8,852.37,913.46,1019.3,512.76,955.26,2086.9,901.71,906.22,895.94,462.74,12960,9006.3,7222.6,3466.6,5698.6,4034.9,4043.8,2590.2,2330,1865.1,2142.9,1016.8,0,0,0,0,0,0,2918.4,1776.3,1843,978.89,1135.9,321.46,920.62,447.5,417.55,271.84,546.66,232.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TACC1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5221.5,1454.7,3195.6,440.66,2186.2,6003.6,10125,12222,7149.2,2057.6,2675.2,3609.3,7386.9,9261,407.61,1194.5,1752.4,2418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COR1C_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5009.8,845.69,7428.9,179.63,3772.5,10326,0,0,0,0,0,0,73264,81637,10077,33205,53457,119010,102590,122730,69389,49337,53356,83207,41833,46808,24252,18978,35439,41125,14684,8244.2,4080.7,3302.1,5063,3195.4,8663.1,6111,4404.2,2922.6,5871.4,3291.7,27507,16788,11824,7996.1,8674.4,3753.1,0,0,0,0,0,0,9646.5,3695,3299.5,1497.4,1799.9,795.87,9175,11356,8073.1,5051.7,6013,3579.1,20954,11954,13340,3820.6,9739.8,5366.6,3978.4,2836.3,3710.3,1721.5,3481.4,1062.8,0,0,0,0,0,0,11579,3387,9105,1707.6,5862.6,1689.1,1036.5,314.94,1308.8,11.016,918.62,185.15,5461.3,1414.5,3893.7,239.34,2490.2,505.76,5090.6,608.65,6694.5,0,2025.7,326.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RBPMS_HUMAN",0,0,0,0,0,0,4893,0,3203.4,469.1,2161.5,5437.2,12525,16273,14315,10694,14959,5952,10198,4042.5,31040,990.71,18061,26588,8243.7,7006.8,5153.2,3816.3,4532.1,4461.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4993.1,901.26,5257.8,1404.6,1467,163.52
"EMAL4_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,934.95,1074.6,779.4,881.57,1412.2,481.69,21354,5163,39684,1766.9,25301,58715,51881,50282,40028,19253,28479,41121,119040,148730,8116.7,37843,67105,118700,86344,107800,61800,40888,44474,62120,118420,142830,61764,45498,64534,76057,92945,78607,55572,18659,25610,26412,9182.2,5013.5,3608,1192.9,3075,1969.7,12215,7296.4,3794.4,2885,4641,2004.4,0,0,0,0,0,0,4530.6,2559.3,1168,660.19,971.71,334.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6572.8,116.85,6413,0,1560.4,0,4136.4,0,4317.7,32.79,696.26,0,3206.4,0,2117.1,0,949.32,0,0,0,0,0,0,0,1161.1,171.84,1093.5,352.09,462.65,0
"STEA2_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3754.4,2599,1246.8,692.89,1087.7,806.56,0,0,0,0,0,0,2272.6,3373.2,1688.2,1587.7,1784.4,683.87,3161.1,2919.4,1643.5,1231.8,1945.4,915.42,1144.5,1182,811.37,478.1,988.53,398.25,0,0,0,0,0,0,1272.8,612.72,878.6,418.12,560.34,219.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFA3_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17055,19634,3813.5,6106.1,8351.5,13169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7488.9,1451.4,9074.9,2414.2,2402.7,322.49
"PESC_HUMAN",0,0,0,0,0,0,29729,0,14426,1370.2,6287,13291,22038,20206,19310,10222,12538,5258.4,989.26,1702.9,1981,989.78,1429.7,8541.1,2248.8,13174,1862.1,7776.4,2384.4,7133.6,33328,43728,2429.2,30550,55132,8550.4,4626.9,6226,4801,3974.9,4876,3305.9,5757,4465.9,5945,4351.8,4909.8,3276.1,0,0,0,0,0,0,8313.5,4058.4,4893.4,2517.7,3912.9,1916.7,5220.6,1735.5,2153.3,1088.2,1740.4,492.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662.6,156.12,2534.1,114.75,1318.7,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOM7_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8932.7,6558.5,4239.4,1433.9,2237.7,2393.7,13482,9709.7,6113.2,3073,7534.4,4247.7,9686.8,6154,3242.4,3297.6,4665.6,1801.1,6916.2,5754.9,2386,2395.6,2510.6,1323,11850,7350.7,3200.2,2349.2,3699.8,1661.3,3692.6,3485.8,1981.7,1914.4,2276.2,1174.4,5518.8,3626.1,2227.5,2347.3,2518.7,1521.7,2235.7,1225.6,616.48,1336.9,947.24,616.23,0,0,0,0,0,0,1119.7,604.35,784.94,274.06,690,276.21,832.82,434.02,543.01,0,581.03,0,0,0,0,0,0,0,886.17,245.68,1231.6,151.61,283.87,0,0,0,0,0,0,0,800,188.47,674.37,0,275.31,187.33,0,0,0,0,0,0,1733.5,900.21,2670,933.89,951.25,134.26
"CBX1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,8644.7,12537,6505.5,3642.1,4344,2727.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RFT1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3972.9,3325.2,1935.3,1916.9,1689.4,1353.5,5058.8,4391.9,3594.2,3123.6,3788.1,2187.9,2854.7,2407.8,2124.8,1105.4,2103.5,1027.4,3421.5,2064.4,1896.3,844.1,1218.1,757.9,0,0,0,0,0,0,3690,1312.5,2552.6,499.82,1517.6,606.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RAN_HUMAN",56988,9456.3,14077,25196,24723,20890,217570,0,135120,15917,45743,124800,234640,311600,204760,93077,110710,53632,179520,47270,225250,10574,99597,278110,187510,174970,110310,50946,59304,95446,189490,206150,12692,37343,63522,133380,71974,66584,45137,18052,29186,36584,51116,39372,21003,10242,27786,27129,27978,15985,12870,2943,11688,8806.5,22007,17201,11508,2651.4,16920,8366.9,19274,12360,7696.6,5587.8,8488,5391.4,10287,6088,3079.1,1231.4,4614.1,1838.8,9302.5,4365.1,2228.8,1608.7,2231,754.33,2829.3,4804.9,2115,2277.6,1561.8,1376.6,4574.8,2983.7,2121.6,762.63,2279.7,1130.8,7455.6,5004.7,4450.8,2715.2,4216.3,1953.9,6568,3374.5,5147.1,1663.5,3868.4,519.04,2589.5,797.47,1406.1,419.25,725.7,533.76,5874,2049.1,5598.1,677.36,3365.4,794.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5597.4,1068.2,3459.1,515.06,2081,424.76,0,0,0,0,0,0
"ERC6L_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744.1,5320.7,7244.5,1735.8,2826.1,3435.9,0,0,0,0,0,0,7352.1,6533.1,4457.3,6394.4,4760.7,2499.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMAL3_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1326.9,2109.4,901.01,1482.1,1231,1872.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACBD5_HUMAN",0,0,0,0,0,0,2860.4,0,2029.7,455.19,1505.3,2371.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6426,5454.4,1411.4,1968.1,2540.5,1630.1,0,0,0,0,0,0,0,0,0,0,0,0,3844.8,4009.4,1579.6,1890.6,1808.7,1094.2,8225.9,4532,2963.2,1693.6,2933.7,1938.8,6601.9,4928.6,3679.5,2803.3,3332.4,1598.5,2748.7,1813.7,1741.3,817.41,1189.7,461.08,0,0,0,0,0,0,2590.9,1817.3,2305.6,371.63,1427.7,478.65,1382.5,508.38,875.4,0,468.82,0,2459.2,695.16,2712.2,65.092,1407.8,148.55,2066.9,321.2,2034.3,0,462.92,273.01,2099.9,414.53,2217.4,21.133,365.43,192.58,1499.8,651.07,1911.7,135.99,571.96,157.5,1542.3,703.49,2185.3,760.58,568.83,0
"COG2_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,9003.4,14946,6575.9,2973.7,2325,2068.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15978,8846.3,6631.8,3445.9,9837.1,3444.2,39660,29384,12413,10636,16923,6647,7096.3,8304.3,3376.8,2709.9,4219.3,1861.4,4708.3,3451.8,1181.2,1034,883.98,519.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TPC1_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1172.7,639.67,346.76,434.24,444.36,0,1941.3,1020.6,904.42,559.69,564.81,147.82,824.52,275.77,170.3,0,135.23,151.54,396.14,191.57,281.06,274.63,229.98,188.2,487.41,196.71,442.34,167.64,148.95,0,399.9,162.71,282.41,174.66,93.875,99.152,771.26,549.46,661.94,236.42,361.03,0,520.87,244.05,499.17,195.05,382.49,139.45,564.43,191.06,387.29,139.11,205.92,0,502.11,213.21,260.07,90.204,220.9,0,707.86,188.83,672.66,0,201.36,0,0,0,0,0,0,0,1406.2,121.1,952.45,0,330.68,0,523.18,177.63,310.86,81.117,187.5,0,0,0,0,0,0,0
"RL31_HUMAN",0,0,0,0,0,0,1098.5,119.5,569.46,1113.6,693.02,4412.7,4432.7,7629.6,1407.5,7695.2,1346.9,2637.1,5684.8,4867.2,11072,2992,4544.8,31035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21118,39058,11241,11868,6740.8,16796,13690,23991,3095.1,10001,5785.9,11479,24062,43942,5343.7,19411,8035.2,14709,18172,30160,4946,5644.9,6795,10942,14520,18382,3028.7,6155.6,3326.2,5264.6,14188,42312,8776.2,20830,7534.8,22333,15847,19859,9206.4,4371.5,6362.2,9604.6,36041,37186,39708,18376,34298,15177,81316,14857,97902,5105.2,63629,6641.2,84172,15224,113610,2848.6,45163,8193.1,71638,22008,80173,3618.8,60135,9314.4,24583,4491.2,15161,1014.2,12135,1425.7,106100,12080,122310,364.37,36206,2826.5,156220,8336.1,136000,723.02,23818,3230.2,171580,16703,140980,547.59,41168,4018.8,56480,15799,39085,5035.8,29543,1882.7,88800,44533,120180,58485,49860,6665.2
"ARMC8_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3882.2,3594.5,3210.2,1939,2260.2,1315.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S2546_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3290,3733,1407.8,1820.7,1283.6,770.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1711.2,694.75,816.26,425.82,661.24,270.97,347.53,371.92,393.83,212.34,179.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DDX27_HUMAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7332.1,9511.8,1283.2,4811.2,8038.9,2921.9,10860,10882,7138.3,11156,8943.8,6244.3,10937,11663,5946.4,2710.2,2499.6,6126.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147.3,926.31,2450.1,343.95,1938.6,183.78,23908,6360.3,25519,2452.9,15092,2702.5,0,0,0,0,0,0,7215,1019.7,4175.6,376.78,3409.9,555.42,8415.4,464.42,6999.6,23.264,2188.4,205.55,0,0,0,0,0,0,3363.6,50.89,2240.6,227.1,889.1,225.66,0,0,0,0,0,0,0,0,0,0,0,0
